,DESCRIÇÃO PARCEIRO,SUB-CATEGORIA,CATEGORIA
284,CIGARRO PLAZA SVE SLIMS UN,CIGARRO,CIGARRO
285,JG CAMA ACASA KING R MF LIST MES LL 1901,JOGO DE CAMA,CAMA
286,GUARDANAPO IMP LINHO NUDE 33X33 280019,GUARDANAPO,GUARDANAPO DE PAPEL
287,VINHO ARGENTINO CARACTER MALBEC 750ML,VINHO ARGENTINO,VINHO
288,CAFE GOURM MINAS ESTATE 500G DIA/NOITE,GRÃO EXPRESSO,CAFÉ
289,SUCO INTEG PERGOLA UVA TINTO GF 1LT,INTEGRAL,SUCO PRONTO/NECTAR
290,PAO BRIOCHE LAGOA kg ASSADO,BRIOCHE,PÃES
291,ACHOCOLATADO LÍQUIDO NILZA 200ML,ACHOCOLATADO,MODIFICADOR DE LEITE
292,FRALDA HUGGIES TMONICA TRIPLA PROT. (G) C/9,INTERMEDIÁRIA M,FRALDA INFANTIL
293,XAROPE 900ml DICEL GUARANA,GUARANÁ,XAROPE
294,TOUCA RICCA BANHO LUXO 3402 .,TOUCA BANHO,ACESSÓRIOS DE BANHO
295,VINHO SOLIMONTES SUAVE 750ML. CABERNET/SAUV,VINHO URUGUAIO,VINHO
296,PASCOA OVO LACTA LAKA 340G,OVO DE PÁSCOA,OVO DE PÁSCOA
297,FAQUEIRO TRAMONTINA ACO INOX C24 LEME PT,FAQUEIRO,UTENSÍLIOS DE INOX/ALUMÍNIO
298,FRU CALDA FIGO ESTRELA DO ORIENTE 400G,FIGO,FRUTA EM CALDA
299,PRESERV JONTEX SENSITIVE C/6UN,SENSITIVE,PRESERVATIVO
300,FRU CALDA PESSEGO GB EXTRA 425G,PÊSSEGO,FRUTA EM CALDA
301,MEL APIARIO SO MEL 500G,TRADICIONAL,MEL
302,SAND AD HAVAIANAS SLIM LOGO POP 39/40 LA CYBER,SANDÁLIA,CALÇADO ADULTO
303,ESPETO DE BAMBU P/CHURRASCO 50un ARCO IRIS,ESPETO MADEIRA,CHURRASCO
304,PHYSALIS BERRY GOOD BJ 100G,PHYSALIS,FRUTAS
305,SEMENTE ISLA 1.9G ALFACE REGINA DE VERAO,SEMENTES,JARDINAGEM PLANTAR
306,CAIXA RETANG.PEQUENA MITROPLAST,CAIXA ORGANIZADORA,ORGANIZADOR
307,MASCR CAB SALON-LINE SOS BOMBA 1KG,MÁSCARA CAPILAR,CREME PARA TRATAMENTO
308,BONECO DE EMPURRAR PATRULHA CANINA LIDER,BONECAS/BONECOS,BRINQUEDOS MENINOS
309,AGUA MIN LEBRINHA S/GAS 6L,SEM GÁS,ÁGUA MINERAL
310,POTE RETANGULAR PLASUTIL DUO DEC 400ML,POTES,UTENSÍLIOS DE PLÁSTICO
311,CONDICION GOTA 340ML,USO DIÁRIO,SHAMPOO
312,TACA BLUMENAU CHAMPAGNE FLUTE 820/CFLAZ,TAÇAS,UTENSÍLIOS DE VIDRO
313,FRIGIDEIRA TRAMONTINA C/ESP 30 20150730,FRIGIDEIRA,UTENSÍLIOS DE INOX/ALUMÍNIO
314,IOGURTE FRIMESA LIGHT GF 170GR AMEIXA,TRADICIONAL,IOGURTE
315,JILO VERDEKAL 400G-PC PICADO,JILÓ,LEGUMES
316,LAMPADA OSRAM LED T8 BIV 9W 6500K,LÂMPADA,ILUMINAÇÃO
317,MELAO PIEL SAPO CORTES ESPECIAIS KG,MELÃO,FRUTAS
318,REPAR PONTAS NIELY GOLD EXTRA BRILHO 42ML,REPARADOR DE PONTA,TRANSFORMAÇÃO CABELOS
319,SANDALIA HAVAIANAS SLIM TROPICAL VDE CAMO 35/36,SANDÁLIA,CALÇADO ADULTO
320,CAIXA SOM JBL BLUETOOTH PUL PT 28910877,SOM COMPACTO,APARELHO DE SOM
321,"BEB LACTEA FERM CAROLINA 180G, MOR",BEBIDA LÁCTEA,IOGURTE
322,ASSADEIRA MARINEX OVAL INDIV.S/TAMPA,ASSADEIRA,UTENSÍLIOS DE VIDRO
323,PICOLE ICE BOM BOMBOM GELAD 65G CHOC BRANCO,PICOLÉ,SORVETE
324,OLEO COCO EXT VIRG DIKOKO 500ML GARRAFA,ÓLEO DE COCO,SAUDÁVEL
325,ESC CAB BELLIZ OVAL ALMOF 750,ESCOVA PARA CABELO,ACESSÓRIOS PARA CABELO
326,TORRADA SIMPLES CARONE KG,TORRADA,BISCOITO
327,BARRA FRUTA/AMEND PIC-ME 25G AVELA/CURCU/CAN,REGULAR,BARRA DE CEREAL
328,CANECA MELLIE PORCELANA 300ML PET MUG,CANECA,UTENSÍLIOS DE PORCELANA/CERÂMICA
329,PROVOLONE kg VALE DO ORIZONA PEDACO,PROVOLONE,QUEIJO
330,CAIXA ISOPOR ISOPLAST 33L,BOLSAS/CAIXAS TÉRMICAS,TÉRMICOS
331,GARFO ROMANA PLASTICO GRANDE C/50 CRISTAL,TALHERES,ARTIGOS PARA FESTAS
332,MAMADEIRA FIONA MINIF 50ML ROSA 821630,MAMADEIRA,PUERICULTURA
333,LIMPADOR FACILLE PERF 1L LAVANDA,PERFUMADO,LIMPADOR MULTIUSO
334,QUEIJO ALEM.BAVARIA BLU BERGADER 350G,OUTROS ESPECIAIS,QUEIJO
335,PANO LIMPPANO SAKO SEKO 43X65CM,PANO MULTIUSO,PANOS/FLANELAS
336,LIMPA VIDROS SANOL GAT 500ML,TRADICIONAL,LIMPA VIDROS
337,PASCOA OVO NESTLE CLASSIC 50G,OVO DE PÁSCOA,OVO DE PÁSCOA
338,COND PANTENE REPAR REJUVENESCEDORA 200ML,REPARADOR,CONDICIONADOR
339,POTE REDONDO SANREMO 1.58L,POTES,UTENSÍLIOS DE PLÁSTICO
340,SOL BUCAL LISTERINE WHITE 250ML ANTIMANC,ANTISSÉPTICO BUCAL MENTA,ANTISSÉPTICO BUCAL ADULTO
341,TORRONE ELALMENDRO CROCANTE CHOCO 75G,TORRONE,DOCE TABLETE
342,TIRA FERRUGEM AZULIM 50ML,TIRA FERRUGEM DIRETO,TIRA MANCHA
343,BALA DROPS PAST HALLS MENTA C 3,BALAS - DROPS E PASTILHA,BOMBONIERE
344,ESCOVA CAB RICCA EVER AFTER HIGH RAQUETE,ESCOVA PARA CABELO,ACESSÓRIOS PARA CABELO
345,SACO CRU MC ESTAMPARIA TAMANHO M,PANO MULTIUSO,PANOS/FLANELAS
346,SERUM ANTIAGE SAMUI 150ML VIT C,ÓLEO CAPILAR,TRANSFORMAÇÃO CABELOS
347,SAND. HAVAIANA TOP ATHLETIC AMAR NEON,SANDÁLIA,CALÇADO ADULTO
348,OVOS VERMELHOS ASA C/30UN,OVOS BRANCOS,OVOS
349,KIT SH/COND 240ml RELVAZON TUTI FRUTI,KIT SHAMPOO E CONDICIONADOR,KIT CABELOS ADULTOS
350,CANECA GANDA CERAMICA 355ML AZUL,CANECA,UTENSÍLIOS DE PORCELANA/CERÂMICA
351,ESM COLORAMA VERNIZ&COR VERM.ARDENTE 8ML,ESMALTE,ESMALTE
352,SANDALIA IPANEMA ANATOMICA SOFT AZ 38,SANDÁLIA,CALÇADO ADULTO
353,SUSHI MAKI 100G SALMAO/QUEIJO,SUSHI,COMIDA ORIENTAL
354,VINAGRE VITALIA DE ALCOOL 5L,VINAGRE ÁLCOOL,VINAGRE
355,LIMP VEJA MULTI POWER FUSION LIMAO 500ML,LIMÃO,LIMPADOR MULTIUSO
356,PENTE P/CABELO MARILU MIL MARAVILHAS,PENTES PARA CABELO,ACESSÓRIOS PARA CABELO
357,COPO PLASTICO PLASTIFESTA LONG DRINK MOSTARDA 320ML,COPO,UTENSÍLIOS DE PLÁSTICO
358,BEBIDA LACTEA FERM BETAKIDS 180G FRUTAS/CEREAIS,BEBIDA LÁCTEA,IOGURTE
359,LUVA LIMPPANO MULTIUSO FORR P PCT C/1PAR,LUVA DE LÁTEX,LUVA
360,AZEITONA VERDE MURANO FATIA 170G,VERDE COM CAROÇO,AZEITONA
361,GASPAR LIXA DUPLO P/ PE,LIXA PÉS,ACESSÓRIOS MÃO E PÉ
362,FRALDA PAMPERS PANTS MEGA M C/40,ALTA PERFORMANCE G,FRALDA INFANTIL
363,TIGELA NF 1L BELLA,TIGELA,UTENSÍLIOS DE VIDRO
364,CONDIM PIMENTA ROSA GRAO 35G,PIMENTA PRETA,CONDIMENTO NATURAL
365,KIT STOLF CHURRASCO,LIMPEZA DE PISCINA,PRAIA/PISCINA
366,PANETTONE LOISON ROYAL S/FRUTA CRIS 500G,OUTROS,PANETONE
367,SAB BAR FRANCIS HYDRATTA PROT LEITE BC 90G,HIDRATANTE,SABONETE BARRA
368,DES SPRAY 4 ESTACOES PRIM/VERAO 90ML,SPRAY COM PERFUME,DESODORANTE FEMININO
369,CACAROLA ARCO IRIS ESP C/CA N.20 .,CAÇAROLA,UTENSÍLIOS DE INOX/ALUMÍNIO
370,SAB BAR VINOLIA APHRODISIA 90G,BÁSICO,SABONETE BARRA
371,FUNCHO ERVA DOCE LAZAROTO 350G,ERVA DOCE,CONDIMENTO NATURAL
372,ESSENCIA AROMATEC TALCO 120ML,ESSÊNCIA,PURIFICADOR DE AR
373,CADERNO TILIBRA ESP UNIV 200FLS C FLEX FE,CADERNO,MATERIAL ESCOLAR
374,REFR PO FRISCO C VIT GUARANA 30G,GUARANÁ,REFRESCO EM PÓ
375,CAMINHAO BOIADEIRO,VEÍCULOS,BRINQUEDOS MENINOS
376,PACOCA PACOQUITA 15G,PAÇOCA,DOCE TABLETE
377,ATUM SOLIDO 170g GOMES DA COSTA BTS NATURA,ATUM SÓLIDO NATURAL,PEIXE EM CONSERVA
378,DESO ROLL-ON GIOVANNA BABY MEN ACTIVE 50ML,ROLL ON COM PERFUME,DESODORANTE MASCULINO
379,BATATA JACKER ORIGINAL LT 75G,BATATA REGULAR,SALGADINHO E APERITIVO
380,"SAND HAVAIANAS COL MIX, 39/40, MAR/BC",SANDÁLIA,CALÇADO ADULTO
381,MAMAD LILLO ACINT SON TINTADA 240ML ORTO ROSA,MAMADEIRA,PUERICULTURA
382,BISC LOACKER WAFER BAUNILHA PCT 90G,WAFFER,BISCOITO
383,SORVETE 2L CREME MEL NAPOLITANO,POTE TRADICIONAL,SORVETE
384,POLPA CEBOLA ALINUTRI POTE 270G,POTES,POLPA DE FRUTA
385,FORMA TUBO NICOPAN N.22 - 2LT .,FORMA,UTENSÍLIOS DE INOX/ALUMÍNIO
386,UMIDIF CAB MURIEL UMIDILIZ TEEN 250ML,ESCOVA PARA CABELO,ACESSÓRIOS PARA CABELO
387,TORTILHA BELG FRONTERA 75G PICANTE,SALGADINHOS TORTILHAS,SALGADINHO E APERITIVO
388,GRANULADO 150g KI-KAKAU,ALHO GRANULADO,CONDIMENTO NATURAL
389,RACAO AVE CURRUPIAO FOSFATEC 500G,RAÇÃO,ALIMENTO PARA AVES
390,ALFACE CRESPA PERCICOTTI UN,ALFACE,VERDURAS
391,LINGUICA TIPO CALAB.COFRIL KG,CALABRESA,LINGUIÇA
392,FORMA ARCO IRIS PIZZA N.30 .,FORMA,UTENSÍLIOS DE INOX/ALUMÍNIO
393,SUCO INT PERINI 1L UVA,INTEGRAL,SUCO PRONTO/NECTAR
394,"CREME TRAT BIO EXTRATUS 250G, POS QUIM",TRADICIONAL,CREME PARA TRATAMENTO
395,REVISTA EXAME,REVISTA,REVISTA
396,BARRA SUPINO PROTEIN CHOCOLATE CX 90G,REGULAR,BARRA DE CEREAL
397,SABONETE LIQUIDO 250ml SIMPLE AGUA MICEL,BÁSICO,SABONETE LÍQUIDO
398,TOALHA TEKA CAPUZ SORT MENINA,TOALHA,BANHO
399,FRALDA PATATI PATATA HIP XG C/56,BÁSICA M,FRALDA INFANTIL
400,TRAT CAP ELSEVE AMPOLA OLEO EXT C/3 15ML,AMPOLA,TRANSFORMAÇÃO CABELOS
401,CHEIRO VERDE AROMA ERVAS 30G,CHEIRO VERDE,CONDIMENTO NATURAL
402,AZEITONA VERDE GOURMET CASTELVET VD 190G,VERDE COM CAROÇO,AZEITONA
403,VINHO NACIONAL CAMPO LARGO BCO SECO 750ML,VINHO NACIONAL,VINHO
404,ESM COLORAMA G-ANTONELLI MIMANDO,ESMALTE,ESMALTE
405,JG CAMA TEKA N QUEEN UNIKO AZ,JOGO DE CAMA,CAMA
406,OLEO COCO QUALICOCO VIRGEM VD 200G,ÓLEO DE COCO,SAUDÁVEL
407,COZINHA CARNAROLI 1kg TIO JOAO JAPONESA,OUTROS,ARROZ
408,OVO CAIPIRA ARES DO CAMPO C/20,OVOS CAIPIRAS,OVOS
409,GRANOLA CEIFEIRO 250G WHEY PROTEIN,GRANOLA,SAUDÁVEL
410,SHAMPOO 300ml MOUSSE DE COCO NIRAJ,HIDRATAÇÃO,SHAMPOO
411,SACO P/LIXO LEVALIXINHO 4L 30UN,SACO DE LIXO,SACOS
412,ESCOVA DE PLASTICO PARA COZINH -DAISO,POTES,UTENSÍLIOS DE PLÁSTICO
413,"LAVA ROUPA LIQ OMO PROGRESS LV1,05LPG 900ML",ALTA PERFORMANCE,LAVA ROUPA LÍQUIDO
414,AVE FIESTA TEMP.SEARA ASSA FACIL KG,AVE INTEIRA,AVE RESFRIADA
415,CAPPUCCINO 3 CORACOES 14/20G,CAPPUCCINO TRADICIONAL,CAFÉ
416,CERVEJA DADO BIER LAGER GFA 970ML,LAGER,CERVEJA
417,SACO VASBRAS 10UN,SACO PARA FREEZER,SACOS
418,BISC SAVOIARDI SCHAR 150G CHAMPAGNE,IMPORTADO,BISCOITO
419,MANTA ACASA R POA ND 120X150 0612,MANTA,CAMA
420,SAND AD HAVAIANAS ALLEGRA 39/40 RS/BONECA,SANDÁLIA,CALÇADO ADULTO
421,"BISC PIRAQUE RECH 200G, COCO/BAUNILHA",RECHEADO,BISCOITO
422,KIT SH+COND ELSEVE VITA-MAX SH 250ML+COND 200ML,KIT SHAMPOO E CONDICIONADOR,KIT CABELOS ADULTOS
423,BALAO REGINA LISO N.7 50UN ROSA,BALÃO,ARTIGOS PARA FESTAS
424,ATUM 88 RALADO OLEO 170G,ATUM RALADO ÓLEO,PEIXE EM CONSERVA
425,ERVILHA FUGINI S 2kg,ERVILHA,ERVILHA EM CONSERVA
426,VELA REGINA MALUQUINHA AZUL N 0,VELA,ARTIGOS PARA FESTAS
427,"BARRA CEREAL RITTER ZERO 75G, BANANA",REGULAR,BARRA DE CEREAL
428,CONDIM HERBS AGAR AGAR 90G-PT,TEMPEROS,CONDIMENTO NATURAL
429,BARBEADOR PHILIPS BIV AT610/14,BARBEADOR/DEPILADOR ELETRICO,CUIDADOS PESSOAIS
430,COLHER KIREY PLAS.GD.REF.CRIST C/10,TALHERES,ARTIGOS PARA FESTAS
431,SUCO MARACUJA CURUMATAN 1L,REGULAR,SUCO PRONTO/NECTAR
432,JG CAMA LYNEL D MESCLA CASAL 4PCS CZ,JOGO DE CAMA,CAMA
433,REMOV ESM ENCASA 500ML,REMOVEDOR ESMALTE,REMOVEDOR
434,MARGARINA QUALY AERADA 250G,COM SAL,MARGARINA
435,IOGURTE VERDE CAMPO LACBACILLUS TRA 500G,ZERO LACTOSE,IOGURTE
436,MINESTRONE VERDE FACIL 300G,ESPINAFRE,VERDURAS
437,"MAC C OVOS RENATA 500G, AVE MARIA",COM OVOS,MASSA SECA
438,VINAGRE 750ml PROVATTI BRANCO,VINAGRE ÁLCOOL,VINAGRE
439,QUEIJO PRATO TIROLEZ FAT KG,PRATO,QUEIJO
440,PACOCA SANTO ANTONIO ROLHA 240G,PAÇOCA,DOCE TABLETE
441,AMPOLA TRAT ELSEVE ARGININA RESIST 15ML,AMPOLA,TRANSFORMAÇÃO CABELOS
442,COLEIRA SIMPLES MED,COLEIRA,ACESSÓRIOS PET
443,TEMP FOLHA VERDE 500ML CASEIR,TEMPERO PRONTO,TEMPERO
444,QUEIJO B.DESTINO MUSSARELA BUFALA 250G,MUSSARELA,QUEIJO
445,BISC SAL C CRACK AYMORE MANTEIGA PC 200G,CREAM CRACKER,BISCOITO
446,POLPA ACAI FROOTY ORGANICO PCT 400G,AÇAÍ,POLPA DE FRUTA
447,VINHO PORTUGUES PEGOES MOSCATEL SETUBAL 750ML,VINHO PORTUGUÊS,VINHO
448,"PIPOCA CHINEZINHO 100G, MANTEIGA",PIPOCA MICROONDAS,GRÃOS/CEREAIS
449,BASE FLUIDA VULT 04 FR 20ML,BASE CLARA,MAQUIAGEM
450,HAMB BOV AURORA 672G,BOVINO,HAMBÚRGUER
451,AGUA TONICA SCHIN 350ML- LT,ÁGUA TÔNICA,REFRIGERANTES
452,CONVITE REGINA ANIV.PERSONAGENS 8UN TOY STORE,CONVITE,ARTIGOS PARA FESTAS
453,PANELA TEFLON RED 3.35LT RF.1018,PANELAS,UTENSÍLIOS DE INOX/ALUMÍNIO
454,VINHO ARGENTINO TIERRAS MALBEC G RESV 750ML,VINHO ARGENTINO,VINHO
455,SORVETE FRISABOR 500ML PREMIUM CHOCOLATISSIMO,POTE TRADICIONAL,SORVETE
456,CARCACA SUINA RESFRIADA kg PERNIL,CARCAÇA,SUÍNO RESFRIADO
457,BALA DURA POCKET ENERGY ACER/GUAR 1472 900G-PC,BALAS - DURAS,BOMBONIERE
458,CRAVO ZAELI 7G,CRAVO,CONDIMENTO NATURAL
459,VINHO PORTUGUES QUINTA AMORAS TT750ML,VINHO PORTUGUÊS,VINHO
460,ARROZ DONA HELENA PARB TIPO 1 PCT 5KG,PARBOILIZADO,ARROZ
461,VINHO NACIONAL FAUSTO CHARDONNAY 750ML,VINHO NACIONAL,VINHO
462,SORVETE BERGALLI CHOCO ITALIANO PT 900ML,POTE PREMIUM,SORVETE
463,"CHA MISTO DR OETKER 15G, CH V/GEN/AB/HO",MISTO,CHÁ
464,CONJ. POTE MANTIMENTO GIPLAST 5P?? REDONDO,POTES,UTENSÍLIOS DE PLÁSTICO
465,FARINHA BANANA VERDE NATURAL LIFE 150G,FARINHA NATURAL,FARINÁCEO
466,MASCARA DE TRATAMENTO 250ml FOREVER LISS BOMBA CHOC,MÁSCARA CAPILAR,CREME PARA TRATAMENTO
467,FAROFA MAND SIAMAR TRAD 400G,FAROFA DE MANDIOCA,FARINÁCEO
468,HIDRAT LOC CORPO NIVEA SUN POS SOL ALOE VERA 125ML,HIDRATAÇÃO,HIDRATAÇÃO PARA O CORPO
469,REFR PO FRESH LIMAO 15G,LIMÃO,REFRESCO EM PÓ
470,JG CAMA TEKA CASAL DIAMANTE FLORAL AZ,JOGO DE CAMA,CAMA
471,CUSCUZEIRO TEFLON EXTRA FORTE N14,CUSCUZEIRO,UTENSÍLIOS DE INOX/ALUMÍNIO
472,SUPER NECESSARIA COZA D FM 13111,NECESSAIRES,NECESSAIRES
473,AMENDOIM LINA 200G TIPO JAPONES PT,AMENDOIM,SALGADINHO E APERITIVO
474,PROT DIARIO INTIMUS DAYS S/A S/PERF LV80PG70,EXTERNO PROTETOR DIÁRIO,ABSORVENTE
475,CHOC OZ 100G-CX BISCOITO MAIZENA,MAIZENA,BOMBONIERE
476,REFRIGER CONSUL MAN 239L BC 127 CRC28FB,FROST FREE,REFRIGERADORES
477,MAC DA ROZ NATURALLE 200GR VEG. .,COM OVOS,MASSA SECA
478,BALAO 6.5 LISO VALVES C/30 VERMELHO,BALÃO,ARTIGOS PARA FESTAS
479,ARROZ BLUE VILLE 1KG PARB,TIPO 1,ARROZ
480,FRIGIDEIRA ARCO IRIS N.22 C/ORLA,FRIGIDEIRA,UTENSÍLIOS DE INOX/ALUMÍNIO
481,VINHO MONTGRAS AURA RES MERLOT GFA 750ML,VINHO CHILENO,VINHO
482,MASSA LA MOLISANA STELLINE 59 500G,IMPORTADO,MASSA SECA
483,COGUMELO PARIS LAZAROTO 200G,PARIS,COGUMELO
484,SAND IPANEMA CHARME II 36/0 ROSA/RO,SANDÁLIA,CALÇADO ADULTO
485,SOPAO MAGGI 150G INTEGRALLES VEGET/CER.INT.,SOPA FAMILIAR CARNE,SOPA
486,JG CESTA ORGAN ACASA DOURADA 366/367/368,CESTA ORGANIZADORA,ORGANIZADOR
487,"SORVETE KIBON ZERO LACT 800ML, CREME",POTE TRADICIONAL,SORVETE
488,MINI CENOURA MISTER RABBIT CLASSIC PCT 250G,CENOURA,LEGUMES
489,BOLO CHOC SL RED 600G LIMAO,CHOCOLATE,BOLOS
490,VINHO ESPANHOL CASTILLO MONT.TTO CRIANZA 750ML,VINHO ESPANHOL,VINHO
491,VELA FILTRO COMUM NEDO,VELA FILTRO,HIDRÁULICA
492,ADOC LIQ WOLFS SACARINA 100ML-FR,STEVIA,ADOÇANTE
493,SELADOR TERMICO FIOVIT OLEO COCO 300ML,ÓLEO DE COCO,SAUDÁVEL
494,"SEMENTES FELTRIN 1,0/1,2/1,40/1,6/2,0G COENTRO",SEMENTES,JARDINAGEM PLANTAR
495,VINHO ROS EA 750ML POR,VINHO ROSE,VINHO
496,DUCHA CORONA ARTICULAVEL 220V 5700W,DUCHA,HIDRÁULICA
497,PASTILHA DTC GALINHA PINTADINHA 9G ADES FIGURINHA,BALAS - DROPS E PASTILHA,BOMBONIERE
498,VINHO TINTO DOÑA FLORENCIA RESERVA MERLOT 750ML,VINHO TINTO,VINHO
499,"CAIXA TERMICA COLERMAM . 26,5 LITROS AZUL",BOLSAS/CAIXAS TÉRMICAS,TÉRMICOS
500,MASSA FR PASTEL DISCO SIORELLA 500G,PASTEL ROLO,MASSA FRESCA
501,TOALHA DE BANHO BANHAO SQUARE VALLETEX CHUMBO,TOALHA,BANHO
502,HIDRAT LT CORPO MONANGE ERVA DC/AG COCO FR 200ML,HIDRATAÇÃO,HIDRATAÇÃO PARA O CORPO
503,CAPELETTI MASSA LEVE CARNE BJ 400G,CAPELETTI,MASSA FRESCA
504,DOCE LEITE MU-MU PT 380G,DOCE DE LEITE,DOCE PASTA
505,BISC WAFF TRIUNFO PASSION CHOC 120G,WAFFER,BISCOITO
506,FRIGIDEIRA FRANCESA ROCHEDO VITALLE 22,FRIGIDEIRA,UTENSÍLIOS DE INOX/ALUMÍNIO
507,REFRIG DELREY UVA PET 2L,UVA,REFRIGERANTES
508,BOLO CAKE INDIA kg,OUTROS SABORES,BOLOS
509,MOCHILETE SESTINI SPIDERMAN G 15M 63450,MOCHILA,MATERIAL ESCOLAR
510,MASCARA MULTIACAO SOS QUERATINA 300G,MÁSCARA CAPILAR,CREME PARA TRATAMENTO
511,PANELA ARCO IRIS N.20 BOJUDA .,PANELAS,UTENSÍLIOS DE INOX/ALUMÍNIO
512,PIME KI REINO 37g,PIMENTA DO REINO,CONDIMENTO NATURAL
513,FERTILIZANTE NUTRIPLAST ROSAS 150G,FERTILIZANTE,JARDINAGEM PLANTAR
514,ACUCAR REFINADO ENERGY 1KG,REFINADO,AÇÚCAR
515,ALECRIM CHELLI TB 17G,ALECRIM,CONDIMENTO NATURAL
516,SAND AD HAVAIANAS ALLEGRIA PRINT 35/36 VDE/PASTE,SANDÁLIA,CALÇADO ADULTO
517,MEL ZAFALON FLORADA LARANJEIRA 500G,SABORIZADO,MEL
518,ESC DENT BAS IMPOWER TORC CORINTHIANS,ESCOVA DENTAL BÁSICA,ESCOVA DENTAL ADULTO
519,DESOD SANIT INSPIRA BLOCO P CAIXA LAV UN,PEDRA,LIMPEZA SANITÁRIA
520,PIRANHA CAB RICCA MD CONCHA 863,PIRANHA,ACESSÓRIOS PARA CABELO
521,SOPAO KNORR MAIS MAC CARNE 195G,SOPA FAMILIAR CARNE,SOPA
522,COLAGENO HID VILA ALIMENTOS 100G PO,COLÁGENO,SUPLEMENTO ALIMENTAR
523,ESM RISQUE MINI SAIA 8ML,ESMALTE,ESMALTE
524,CAFE NATIVE ORGANICO TORR/MOIDO CX 250G,ALMOFADA TRADICIONAL,CAFÉ
525,QUEIJO COALHO QUATA ESPETO kg,COALHO,QUEIJO
526,SALAME ESP.HACIENDAS RES.BARC.PIM.R.100G,TRADICIONAL,SALAME
527,PH FD SCOTT COMPACTO NEUTRO 8X30M,FOLHA DUPLA,PAPEL HIGIÊNICO
528,ESCORREDOR CATUAI MASSAS 28CM INOX .,ESCORREDOR LOUÇAS,UTENSÍLIOS DE INOX/ALUMÍNIO
529,ACAFRAO DA TERRA CHELLI PCT 15G,AÇAFRÃO,CONDIMENTO NATURAL
530,"BOLSA TERMICA LUNCH 4,2L SOPRANO ROSA",BOLSAS/CAIXAS TÉRMICAS,TÉRMICOS
531,BARRA CEREAL &JOY 14G MINI SEMENTES,REGULAR,BARRA DE CEREAL
532,SUCO INTEG CAMPO LARGO MACA/UVA GF 1L,INTEGRAL,SUCO PRONTO/NECTAR
533,QUEIJO GRUYERE kg VIGOR,GRUYÉRE,QUEIJO
534,SQUEEZE KREA PLASTICA DECORADA 750ML,JARRA/GARRAFA,UTENSÍLIOS DE PLÁSTICO
535,SAND IPANEMA TAN FEM 35 ROSA/PRAT,SANDÁLIA,CALÇADO ADULTO
536,CAMARAO ROSA ZERO 400g VILLA DO MAR,CAMARÃO,FRUTOS DO MAR CONGELADOS
537,BISC CREAM CRACKER DUCHEN MANTEIGA 200G,CREAM CRACKER,BISCOITO
538,CHICKEN POPCORN PERDIGAO CHIMIC PCT 300G,PETISCOS,EMPANADO
539,KIT COLCHA ACASA ULTRA R CASAL AZ 1901,COLCHA,CAMA
540,PANCETA SUINA kg LAGOA,PANCETA SUÍNA,SUÍNO RESFRIADO
541,CACHEPO NUTRIPLAN ELEGANCE RED PT 03,CACHEPÔ,VASOS
542,TORTA CREME AVELA/COOKIE PEQ KG,TORTA DOCE,TORTA
543,MOSTARDA 200ml BEAUFOR DIJON,TRADICIONAL,MOSTARDA
544,CERVEJA WALS VERANO 600ML,IPA,CERVEJA
545,CREME HIDRATANTE 500ml HIDRAMAIS PERF BEBE,FIRMADOR,HIDRATAÇÃO PARA O CORPO
546,BEBIDA MISTA NINNOFF 900ML GREEN,UVA,BEBIDA MISTA
547,VINHO CHILENO 750ml PAISAJES DE CHILE MERLOT,VINHO CHILENO,VINHO
548,IOGURTE VIMILK 1L SAQUINHO MORANGO .,TRADICIONAL,IOGURTE
549,FRANGO ATALAIA kg .,AVE INTEIRA,AVE RESFRIADA
550,PAO NINO ARTESANAL PCT 500G,OUTROS,PÃES
551,COPO 300ml C/100un COPOBRAS BIODEGRADAVEL,COPO,UTENSÍLIOS DE VIDRO
552,COLEIRA CAO VAPONEX ANTI PUL/CARR CX 20G,COLEIRA,ACESSÓRIOS PET
553,GARRAFA PLASDURAN FLIP TOP PP 600ML,JARRA/GARRAFA,UTENSÍLIOS DE PLÁSTICO
554,COPO CISPER CALDERETA BRAHMA .,COPO,UTENSÍLIOS DE VIDRO
555,PORTA LEITE CAIXINHA DELTA .,PORTA MANTIMENTO,UTENSÍLIOS DE PLÁSTICO
556,MARCADOR MOLIN FLUORESCENTE C/1 ROSA,MARCA TEXTO,MATERIAL ESCOLAR
557,LASANHA AURORA QUATRO QUEIJOS CONG 600G,QUATRO QUEIJOS,LASANHA
558,SAB BAR DOVE REGGTS 90G LV6PG5,HIDRATANTE,SABONETE BARRA
559,CIGARRO SAMPOERNA BOX CRAVO,CIGARRO,CIGARRO
560,DOCE PACOCA CRIOLO CASEIRA 650G,PAÇOCA,DOCE TABLETE
561,TOUCA CAB MARCO BONI C/2,TOUCAS PARA CABELO,ACESSÓRIOS PARA CABELO
562,COPO ARUBA D 345ML FUME,COPO,UTENSÍLIOS DE VIDRO
563,DESINFETANTE DESODOR 500ML EUCALIPTO,DILUÍDO,DESINFETANTE
564,ERVILHA YOKI PARTIDA 500G,ERVILHA,ERVILHA EM CONSERVA
565,ESC DENT DES ORAL B PREMIUM ANGULAS MD,ESCOVA DENTAL DESEMPENHO,ESCOVA DENTAL ADULTO
